No. Faktur;Tgl Faktur;Keterangan Barang;Kuantitas;Unit 1 Barang; Jumlah ;Keterangan;
CASH.01.072025.0103;01 Jul 2025;SEALTAPE AIR;1.00;PCS; 3,000.00 ;;
CASH.01.072025.0103;01 Jul 2025;"PVC RUCIKA 1/2"" AW";2.00;LJR; 46,000.00 ;;
CASH.01.072025.0103;01 Jul 2025;KENI 1/2 MSP;5.00;PCS; 10,000.00 ;;
CASH.01.072025.0103;01 Jul 2025;TEE DRAT 1/2 MSP;1.00;PCS; 3,000.00 ;;
CASH.01.072025.0103;01 Jul 2025;"TEE 1/2"" MSP";2.00;PCS; 5,000.00 ;;
CASH.01.072025.0103;01 Jul 2025;"WATERMUR DL 1""X1/2""";1.00;PCS; 11,000.00 ;;
CASH.01.072025.0104;01 Jul 2025;SEMEN HITAM 5 KG AN;1.00;BKS; 12,500.00 ;;
CASH.01.072025.0105;01 Jul 2025;SEMEN ACIAN TR 30 ECERAN;5.00;KG; 25,000.00 ;;
CASH.01.072025.0108;01 Jul 2025;ISI TANGKI CLOSET 2 TOMBOL ATAS;1.00;PCS; 150,000.00 ;;
CASH.01.072025.0109;01 Jul 2025;DINABOL 12X60;28.00;PCS; 98,000.00 ;;
CASH.01.072025.0109;01 Jul 2025;AFUR PVC ALINCO BIRU;2.00;PCS; 30,000.00 ;;
CASH.01.072025.0110;01 Jul 2025;PYLOX 128 CLEAR;1.00;PCS; 30,000.00 ;;
CASH.01.072025.0111;01 Jul 2025;BENANG BOL;2.00;PCS; 6,000.00 ;;
CASH.01.072025.0119;01 Jul 2025;MATA OBENG +/+;1.00;PCS; 7,000.00 ;;
CASH.01.072025.0129;01 Jul 2025;LIS ALMINI 3/4 (4) 1.5 CM;1.00;LJR; 40,000.00 ;;
CASH.01.072025.0130;01 Jul 2025;THINNER A SPC * 1 L;2.00;KLG; 100,000.00 ;;
CASH.01.072025.0131;01 Jul 2025;KAWAT 16 TANGGUNG;5.00;MTR; 5,000.00 ;;
CASH.01.072025.0132;01 Jul 2025;SERAT FIBER;5.00;LBR; 12,500.00 ;;
CASH.01.072025.0132;01 Jul 2025;"KUAS ETERNA 3""";1.00;PCS; 13,000.00 ;;
CASH.01.072025.0133;01 Jul 2025;NIPPON PROTECTIVE @1 KG;1.00;KLG; 43,000.00 ;;
CASH.01.072025.0134;01 Jul 2025;LEM FOX 300 GRAM @ 1/2KG;1.00;PCS; 30,000.00 ;;
CASH.01.072025.0135;01 Jul 2025;SHOWER TOILET BANO/NIKKEN PUTIH;1.00;PCS; 60,000.00 ;;
CASH.01.072025.0135;01 Jul 2025;KRAN CABANG EDO;1.00;PCS; 55,000.00 ;;
CASH.01.072025.0135;01 Jul 2025;HAND SHOWER KODAI HITAM;1.00;PCS; 87,500.00 ;;
CASH.01.072025.0135;01 Jul 2025;SEALTAPE AIR;1.00;PCS; 3,000.00 ;;
CASH.01.072025.0136;01 Jul 2025;PLAMIR BIG LION @1 KG;1.00;PCS; 9,000.00 ;;
CASH.01.072025.0137;01 Jul 2025;PAKU RIVET 640;10.00;PCS; 4,000.00 ;;
CASH.01.072025.0137;01 Jul 2025;PAKU RIVET 550;19.00;PCS; 5,700.00 ;;
CASH.01.072025.0138;01 Jul 2025;LEM RAJAWALI PVAC;1.00;PCS; 18,500.00 ;;
CASH.01.072025.0139;01 Jul 2025;BTR CITICON 10 CM PJG 60;0.01;M3; 10,000.00 ;;
CASH.01.072025.0145;01 Jul 2025;HOLLO 2X4X400;13.00;LJR; 162,500.00 ;;
CASH.01.072025.0145;01 Jul 2025;KANAL C 75X0.75 MM KENCANA;6.00;LJR; 519,000.00 ;;
CASH.01.072025.0145;01 Jul 2025;BTR FOCON/PLATINUM 10CM;1.00;M3; 560,000.00 ;;
CASH.01.072025.0145;01 Jul 2025;BATA BIASA / SEKAM;125.00;PCS; 68,750.00 ;;
CASH.01.072025.0145;01 Jul 2025;TRIPLEK 4 MM;5.00;LBR; 290,000.00 ;;
CASH.01.072025.0147;01 Jul 2025;"GERGAJI KAYU GG KARET HPP 16""";1.00;PCS; 30,000.00 ;;
CASH.01.072025.0148;01 Jul 2025;PASIR SEKROP;5.00;SKP; 30,000.00 ;;
CASH.01.072025.0149;01 Jul 2025;BESI 8 SNI (7.6X12) / 7.5 SRTF;1.00;LJR; 42,000.00 ;;
CASH.01.072025.0150;01 Jul 2025;TALI RAFIA;1.00;ROL; 20,000.00 ;;
CASH.01.072025.0151;01 Jul 2025;SEMEN HITAM KILOAN;3.00;KG; 9,000.00 ;;
CASH.01.072025.0153;01 Jul 2025;KRAN PVC JUMBO LOTUS 1/2-3/4;1.00;PCS; 15,000.00 ;;
CASH.01.072025.0154;01 Jul 2025;SEMEN TIGA RODA PCC 40KG;1.00;ZAK; 53,000.00 ;;
CASH.01.072025.0155;01 Jul 2025;ISI CUTTER KENKO L-150;1.00;PCS; 10,000.00 ;;
CASH.01.072025.0155;01 Jul 2025;LEM DEXTONE 5 MENIT;3.00;PCS; 51,000.00 ;;
CASH.01.072025.0156;01 Jul 2025;SEMEN HITAM KILOAN;1.00;KG; 3,000.00 ;;
CASH.01.072025.0158;01 Jul 2025;"KRAN PVC ISCO 1/2""";1.00;PCS; 15,000.00 ;;
CASH.01.072025.0158;01 Jul 2025;LEM PVC ISARPLAS TUBE 45 GRAM;1.00;PCS; 10,000.00 ;;
CASH.01.072025.0158;01 Jul 2025;SEALTAPE AIR;1.00;PCS; 3,000.00 ;;
CASH.01.072025.0158;01 Jul 2025;"KENI DRAT 1/2"" MASPION";1.00;PCS; 3,500.00 ;;
CASH.01.072025.0158;01 Jul 2025;"PVC RUCIKA 1/2"" AW";1.00;LJR; 23,000.00 ;;
CASH.01.072025.0158;01 Jul 2025;KENI 1/2 MSP;5.00;PCS; 10,000.00 ;;
CASH.01.072025.0158;01 Jul 2025;"TEE 1/2"" MSP";1.00;PCS; 2,500.00 ;;
CASH.01.072025.0158;01 Jul 2025;"WATERMUR DL 1""X1/2""";1.00;PCS; 11,000.00 ;;
CASH.01.072025.0161;01 Jul 2025;BAUT KAYU BESAR 30 CM;7.00;PCS; 45,500.00 ;;
CASH.01.072025.0162;01 Jul 2025;CORNICE A PLUS @20 KG;1.00;ZAK; 65,000.00 ;;
CASH.01.072025.0162;01 Jul 2025;SEKRUP GYPSUM 1 KUNING;100.00;PCS; 20,000.00 ;;
CASH.01.072025.0167;01 Jul 2025;KRAN ANGSA FLEXI BONUCCI/CLASSIC WARNA;1.00;PCS; 88,000.00 ;;
CASH.01.072025.0167;01 Jul 2025;BCP ROYAL SB 35;1.00;PCS; 245,000.00 ;;
CASH.01.072025.0167;01 Jul 2025;REFILL KUAS ROL MINIROLLER 110 MM ACE;1.00;PCS; 10,000.00 ;;
CASH.01.072025.0167;01 Jul 2025;SOK DRAT DALAM 1/2 MSP;1.00;PCS; 3,000.00 ;;
CASH.01.072025.0167;01 Jul 2025;"PVC RUCIKA 1/2"" AW";1.00;LJR; 23,000.00 ;;
CASH.01.072025.0167;01 Jul 2025;PVC PIPA METERAN 1 AW;2.00;MTR; 30,000.00 ;;
CASH.01.072025.0167;01 Jul 2025;KENI 1/2 MSP;2.00;PCS; 4,000.00 ;;
CASH.01.072025.0167;01 Jul 2025;KENI 1 AW MSP;2.00;PCS; 8,000.00 ;;
CASH.01.072025.0168;01 Jul 2025;VINILEX 933 KECAPI;1.00;GLN; 148,000.00 ;;
CASH.01.072025.0169;01 Jul 2025;SEMEN HITAM 5 KG AN;1.00;BKS; 12,500.00 ;;
CASH.01.072025.0177;01 Jul 2025;EMCO 118 SEGITIGA YOLK;1.00;KLG; 80,500.00 ;;
CASH.01.072025.0180;01 Jul 2025;KARBIT MDQ;1.00;PCS; 29,500.00 ;;
CASH.01.072025.0186;01 Jul 2025;SODA API KECIL;1.00;PCS; 17,000.00 ;;
CASH.01.072025.0192;01 Jul 2025;PYLOX 1734 METALLIC BLACK;1.00;PCS; 30,000.00 ;;
CASH.01.072025.0192;01 Jul 2025;CLOTH TAPE HITAM PAJERO 4M;1.00;PCS; 7,500.00 ;;
CASH.02.072025.0001;01 Jul 2025;KARBIT MDQ;2.00;PCS; 59,000.00 ;;
CASH.02.072025.0002;01 Jul 2025;BENANG BOL;2.00;PCS; 6,000.00 ;;
CASH.02.072025.0003;01 Jul 2025;SARUNG TANGAN ABU-ABU;4.00;PSG; 14,000.00 ;;
CASH.02.072025.0004;01 Jul 2025;KASUTAN PVC KOTAK;1.00;PCS; 8,000.00 ;;
CASH.02.072025.0005;01 Jul 2025;SEMEN GRESIK PPC 40KG;1.00;ZAK; 57,000.00 ;;
CASH.02.072025.0006;01 Jul 2025;HCL;2.00;PCS; 24,000.00 ;;
CASH.02.072025.0006;01 Jul 2025;BEE BRAND 141 OCEAN BLUE;1.00;KLG; 70,000.00 ;;
CASH.02.072025.0008;01 Jul 2025;DULUX TINTER BLK BLACK;1.00;KLG; 71,000.00 ;;
CASH.02.072025.0009;01 Jul 2025;LEM G;1.00;PCS; 8,000.00 ;;
CASH.02.072025.0010;01 Jul 2025;FIBER MOTIF 3D HITAM;7.00;MTR; 245,000.00 ;;
CASH.02.072025.0010;01 Jul 2025;KUAS MINIROLLER ACE BIRU GG PANJANG;1.00;PCS; 27,000.00 ;;
CASH.02.072025.0010;01 Jul 2025;PARAGON 377 DEEPARAGON BLUE @1 KG;1.00;KLG; 36,000.00 ;;
CASH.02.072025.0010;01 Jul 2025;VINILEX 8005 BARLEY WHITE;1.00;GLN; 148,000.00 ;;
CASH.02.072025.0011;01 Jul 2025;PAKU BETON PUTIH 2;1.00;DOS; 10,000.00 ;;
CASH.02.072025.0012;01 Jul 2025;SERAT FIBER;2.00;LBR; 5,000.00 ;;
CASH.02.072025.0012;01 Jul 2025;AQUAPROOF ABU @1 KG;1.00;KLG; 56,500.00 ;;
CASH.02.072025.0012;01 Jul 2025;TALANG KARET MERAH 60;1.00;MTR; 11,000.00 ;;
CASH.02.072025.0013;01 Jul 2025;"KUAS ETERNA 2""";1.00;PCS; 9,000.00 ;;
CASH.02.072025.0019;01 Jul 2025;PYLOX 102 WHITE;1.00;PCS; 29,000.00 ;;
CASH.02.072025.0019;01 Jul 2025;KARBIT MDQ;1.00;PCS; 29,000.00 ;;
CASH.02.072025.0019;01 Jul 2025;"PAKU 2 1/2""";1.00;KG; 15,000.00 ;;
CASH.02.072025.0019;01 Jul 2025;"PAKU 3""";1.00;KG; 15,000.00 ;;
CASH.02.072025.0019;01 Jul 2025;"PAKU 2""";1.00;KG; 15,000.00 ;;
CASH.02.072025.0019;01 Jul 2025;BENDRAT SPR Q;2.00;KG; 38,000.00 ;;
CASH.02.072025.0020;01 Jul 2025;"PAKU PAYUNG 2""";-1.00;KG; -28,000.00 ;;
CASH.02.072025.0021;01 Jul 2025;"PAKU PAYUNG ULIR PENDEK 3""";1.00;KG; 30,000.00 ;;
CASH.02.072025.0021;01 Jul 2025;"PAKU 4""";1.00;KG; 16,000.00 ;;
CASH.02.072025.0021;01 Jul 2025;"PAKU 2 1/2""";2.00;KG; 32,000.00 ;;
CASH.02.072025.0022;01 Jul 2025;LEM PVC ISARPLAS TUBE 45 GRAM;1.00;PCS; 10,000.00 ;;
CASH.02.072025.0022;01 Jul 2025;"SOK 3/4""";2.00;PCS; 3,000.00 ;;
CASH.02.072025.0024;01 Jul 2025;KUNCI HANDEL HENDSO TGG;3.00;PCS; 195,000.00 ;;
CASH.02.072025.0024;01 Jul 2025;"PAKU 3/4""";0.10;KG; 5,000.00 ;;
CASH.02.072025.0024;01 Jul 2025;PAKU PINES;2.00;KTK; 4,000.00 ;;
CASH.02.072025.0024;01 Jul 2025;KAWAT LOKET HIJAU PVC 3/4;1.50;MTR; 15,000.00 ;;
CASH.02.072025.0025;01 Jul 2025;BTR BRICON 10CM PJG 60;2.00;M3; 1,100,000.00 ;;
CASH.02.072025.0028;01 Jul 2025;KASUTAN PVC KOTAK;1.00;PCS; 8,000.00 ;;
CASH.02.072025.0030;01 Jul 2025;"GRENDEL VPR 3""";10.00;PCS; 100,000.00 ;;
CASH.02.072025.0031;01 Jul 2025;KABEL NYM 3X2.5 ETERNA ECERAN;3.00;MTR; 63,000.00 ;;
CASH.02.072025.0032;01 Jul 2025;SEMEN HITAM 5 KG AN;1.00;BKS; 12,500.00 ;;
CASH.02.072025.0033;01 Jul 2025;ALCASIT SEMEN ADDITIVE;1.00;PCS; 24,000.00 ;;
CASH.02.072025.0035;01 Jul 2025;LEM DEXTONE 5 MENIT;1.00;PCS; 17,000.00 ;;
CASH.02.072025.0036;01 Jul 2025;SHOWER TOILET STEINLIS EDO;1.00;PCS; 100,000.00 ;;
CASH.02.072025.0037;01 Jul 2025;SEALTAPE AIR;1.00;PCS; 3,000.00 ;;
CASH.02.072025.0043;01 Jul 2025;AMPLAS TUMPUK GRENDA 60;2.00;PCS; 12,000.00 ;;
CASH.02.072025.0043;01 Jul 2025;AFUR LANTAI GHC/YSK ANTI HEWAN;1.00;PCS; 32,500.00 ;;
CASH.02.072025.0043;01 Jul 2025;CORNICE A PLUS @20 KG;2.00;ZAK; 130,000.00 ;;
CASH.02.072025.0043;01 Jul 2025;AMPLAS ROL 100;5.00;MTR; 35,000.00 ;;
CASH.02.072025.0043;01 Jul 2025;TALI AIR;14.00;LJR; 168,000.00 ;;
CASH.02.072025.0044;01 Jul 2025;"WD/MAKITA CUTTING 14""";2.00;PCS; 90,000.00 ;;
CASH.02.072025.0047;01 Jul 2025;ISOLASI 3M;1.00;PCS; 10,000.00 ;;
CASH.02.072025.0048;01 Jul 2025;KRAN ONDA BC 1/2;1.00;PCS; 32,000.00 ;;
CASH.02.072025.0049;01 Jul 2025;SOK 1/2 MSP;2.00;PCS; 2,000.00 ;;
CASH.02.072025.0052;01 Jul 2025;PARAGON 349 PUTIH ELITE @5 KG;1.00;GLN; 125,000.00 ;;
CASH.02.072025.0052;01 Jul 2025;SEMEN ACIAN TR-30 @40KG;1.00;ZAK; 102,000.00 ;;
CASH.02.072025.0053;01 Jul 2025;DULUX TINTER FFR FAST FAST RED;1.00;KLG; 215,000.00 ;;
CASH.02.072025.0054;01 Jul 2025;THINNER A SPC * 1 L;1.00;KLG; 50,000.00 ;;
CASH.02.072025.0055;01 Jul 2025;SEMEN ACIAN TR-30 @40KG;-1.00;ZAK; -102,000.00 ;;
CASH.02.072025.0056;01 Jul 2025;CORNICE A PLUS @20 KG;1.00;ZAK; 65,000.00 ;;
CASH.02.072025.0058;01 Jul 2025;KRAN ONDA BLS 3/4;1.00;PCS; 64,000.00 ;;
CASH.02.072025.0059;01 Jul 2025;"PAKU 1 1/2""";0.25;KG; 6,000.00 ;;
CASH.02.072025.0059;01 Jul 2025;SELANG SUPERFLEX 5/8;1.00;MTR; 10,000.00 ;;
CASH.02.072025.0060;01 Jul 2025;VERLOP RING TANDON 3/4 X 1 PVC;-1.00;PCS; -13,000.00 ;;
CASH.02.072025.0060;01 Jul 2025;"SOK DRAT LUAR 3/4""";-2.00;PCS; -4,000.00 ;;
CASH.02.072025.0061;01 Jul 2025;"VERLOP RING TANDON 1""X1 1/4"" PVC";1.00;PCS; 18,000.00 ;;
CASH.02.072025.0061;01 Jul 2025;"SOK DRAT LUAR 1""";2.00;PCS; 6,000.00 ;;
CASH.02.072025.0062;01 Jul 2025;AMPLAS TAIYO 240;2.00;LBR; 10,000.00 ;;
CASH.02.072025.0063;01 Jul 2025;"KRAN GAGANG HTM 1/2""";-1.00;PCS; -20,000.00 ;;
CASH.02.072025.0064;01 Jul 2025;"KRAN GAGANG HTM 3/4""";1.00;PCS; 25,000.00 ;;
CASH.02.072025.0068;01 Jul 2025;"PVC MASPION 5/8"" C";1.00;LJR; 7,500.00 ;;
CASH.02.072025.0071;01 Jul 2025;"PVC MASPION 5/8"" C";-1.00;LJR; -7,500.00 ;;
CASH.02.072025.0073;01 Jul 2025;LEM PVC ISARPLAS TUBE 45 GRAM;1.00;PCS; 10,000.00 ;;
CASH.02.072025.0074;01 Jul 2025;PVC 20MM PUTIH HPP;1.00;LJR; 10,000.00 ;;
CASH.02.072025.0075;01 Jul 2025;TESPEN VEGAS;1.00;PCS; 10,000.00 ;;
CASH.02.072025.0075;01 Jul 2025;SEKRUP KALSIBOARD 8X32;4.00;PCS; 1,400.00 ;;
CASH.02.072025.0075;01 Jul 2025;FISCHER S 6;4.00;PCS; 1,000.00 ;;
CASH.02.072025.0075;01 Jul 2025;FISCHER S 8;2.00;PCS; 600.00 ;;
CASH.02.072025.0078;01 Jul 2025;SPOTLESS TINT (T) @ 2.5L;1.00;GLN; 245,000.00 ;;
CASH.02.072025.0079;01 Jul 2025;HANDEL KUKU TARUNG EDO 25 CM KOTAK;1.00;PCS; 50,000.00 ;;
CASH.02.072025.0080;01 Jul 2025;SEMEN HITAM 5 KG AN;1.00;BKS; 12,500.00 ;;
CASH.02.072025.0080;01 Jul 2025;PASIR LUMAJANG SEKROP;3.00;SKP; 21,000.00 ;;
CASH.02.072025.0081;01 Jul 2025;THINNER B BOTOL 1/2 L;1.00;KLG; 10,500.00 ;;
CASH.02.072025.0082;01 Jul 2025;SEMEN TIGA RODA PCC 40KG;1.00;ZAK; 53,000.00 ;;
CASH.02.072025.0083;01 Jul 2025;FISCHER S 6;5.00;PCS; 1,250.00 ;;
CASH.02.072025.0083;01 Jul 2025;"SEKRUP HOLLOW 1 1/4""";5.00;PCS; 1,000.00 ;;
CASH.02.072025.0083;01 Jul 2025;"SEKRUP HOLLOW 3/4""";10.00;PCS; 1,000.00 ;;
CASH.02.072025.0084;01 Jul 2025;PLAMIR MASTER PUTIH @4 KG;1.00;GLN; 59,000.00 ;;
CASH.02.072025.0085;01 Jul 2025;KRAN TAMAN EDO ENGKOL 1/2;3.00;PCS; 105,000.00 ;;
CASH.02.072025.0085;01 Jul 2025;EXTENSION POLE (GAGANG KUAS);1.00;PCS; 50,000.00 ;;
CASH.02.072025.0085;01 Jul 2025;THINNER B EMCO 1 LTR;2.00;LTR; 60,000.00 ;;
CASH.02.072025.0085;01 Jul 2025;AVIAN SYNTHETIC BASE A @0.9LT;2.00;KLG; 150,000.00 ;;
CASH.02.072025.0086;01 Jul 2025;BESI 8 M (7.5X12);1.00;LJR; 38,000.00 ;;
CASH.02.072025.0090;01 Jul 2025;COLOURANTS TINTER YELLOW OXIDE (C);2.00;KLG; 370,000.00 ;;
CASH.02.072025.0092;01 Jul 2025;BESI 12 SNI (11.7X12)SRTF;7.00;LJR; 665,000.00 ;;
CASH.02.072025.0092;01 Jul 2025;BESI 10 SNI (9.5X12) SRTF;16.00;LJR; 1,040,000.00 ;;
CASH.02.072025.0092;01 Jul 2025;BESI 16 ULIR (15.3X12)SRTF;6.00;LJR; 1,038,000.00 ;;
CASH.02.072025.0092;01 Jul 2025;BESI 8 SNI (7.6X12) / 7.5 SRTF;10.00;LJR; 420,000.00 ;;
CASH.02.072025.0093;01 Jul 2025;SEMEN GRESIK PPC 40KG;1.00;ZAK; 57,000.00 ;;
CASH.02.072025.0096;01 Jul 2025;GEMBOK ONAT 30 MM LEHER PANJANG;1.00;PCS; 19,000.00 ;;
CASH.02.072025.0096;01 Jul 2025;OVERPAL PUTIH 3;1.00;PCS; 5,000.00 ;;
CASH.02.072025.0097;01 Jul 2025;KRAN ONDA BLS 1/2;1.00;PCS; 50,000.00 ;;
CASH.02.072025.0098;01 Jul 2025;SAKLAR ENGKEL STOP BROCO TANAM;1.00;PCS; 23,000.00 ;;
CASH.02.072025.0099;01 Jul 2025;KARET PAKU PAYUNG;2.00;LBR; 4,000.00 ;;
CASH.02.072025.0099;01 Jul 2025;"PAKU 4""";0.10;KG; 3,000.00 ;;
